ID,area,lat,lon
1,35399,49.023585,12.13873
2,47496,48.676627,13.115212
95,10197,46.6811,15.9956
96,13664,46.4169,15.8675
98,908,46.34,14.1654
99,2201,46.1225,14.4405
101,5177,46.122,15.0906
102,10882,45.8605,15.6925
103,1762,46.0554,14.5444
107,2238,45.8644,15.4555
155,1256,48.085815,13.838047
156,76653,48.582691,13.503336
158,95970,48.382792,15.46122
159,101537,48.329485,16.332121
160,79490,48.30692,14.284912
161,103993,48.114803,16.804302
163,4790,46.77402,13.52317
164,11052,46.64062,14.942619
166,2112,46.747615,12.97297
168,2638,47.581186,14.461733
169,5915,48.043318,14.424931
170,1490,47.514579,14.08546
173,1305,46.569332,13.814816
175,2555,46.606288,14.478061
176,1243,46.760439,14.476932
179,5772,47.275613,11.396506
180,7231,47.388857,11.789238
181,2162,46.951979,10.511638
182,9310,47.522774,12.093312
183,5119,47.258747,10.874705
184,3503,47.146797,10.571568
185,2462,47.076753,10.660908
187,1199,46.831632,12.766335
188,1493,48.534688,15.690083
189,1012,47.497015,10.709677
190,1620,47.937903,16.477205
191,1982,48.04761,16.943102
192,1036,46.807338,13.494837
195,1044,46.875108,13.302641
197,6214,47.409966,15.28143
198,1700,47.110664,14.209475
200,7296,46.902063,15.492877
201,9770,46.711443,15.792175
202,2368,47.211775,14.499123
203,2958,47.185059,14.752621
207,1139,47.811555,12.974216
208,3556,47.595786,13.16345
211,2143,47.310132,13.12021
212,2953,47.479884,13.191103
213,1103,46.771039,15.534549
214,1406,48.844976,15.499183
216,3387,48.141089,13.995787
221,1117,48.110874,14.891028
223,1095,47.346304,11.862502
228,210250,45.854141,18.859776
231,1337,44.870834,21.485225
232,2150,43.892142,22.293443
233,3945,44.011722,22.355994
234,64073,44.877743,19.084006
235,87996,44.965672,19.60019
236,17490,44.41907,19.14799
237,1896,44.371198,20.199508
238,31548,43.724576,21.373063
239,33446,44.070498,21.195798
240,3077,43.87126,20.118569
241,4658,43.775839,20.627096
242,14721,43.608124,21.295077
243,2775,42.600342,22.012318
244,3782,42.890972,22.061887
245,9396,43.219521,21.838303
246,15390,43.63055,21.485787
247,2052,43.20241,21.830671
248,1745,43.159234,22.588755
249,3870,43.326211,21.90196
257,7818,43.659922,20.563451
258,1242,43.576355,22.259299
261,251593,45.53004,19.078749
263,1111,45.326954,21.03038
264,37320,44.585387,21.131837
272,24129,48.602278,16.935429
273,131244,48.173299,16.977317
274,1107,49.086364,19.603513
277,5453,49.172511,18.864047
278,11218,48.161217,17.881949
279,2094,48.523948,18.172555
280,4064,47.978552,18.174321
281,151962,47.754313,18.127812
282,1766,48.731088,19.140372
283,3821,48.406726,18.64624
284,2768,48.087161,19.297626
285,1830,48.30507,20.313416
286,1377,48.285404,20.301721
288,1133,48.909548,20.972338
289,1298,48.733426,21.336383
290,1272,48.928054,21.912382
291,1989,48.605475,22.156619
292,2915,48.500766,22.051758
293,1050,49.032598,21.519206
294,11474,48.395088,21.748243
327,1124,44.49455,21.299877
457,2189,48.297,11.4916
458,1257,48.378353,10.881891
460,2251,49.0285,11.4783
461,6649,48.1585,12.8341
462,1357,49.181157,12.746633
463,11350,48.5684,10.5005
464,15092,48.7107,10.8014
465,1397,48.883072,11.200333
466,1230,48.177101,11.261473
467,1569,48.783017,10.692216
469,20001,48.7574,11.426
470,3076,48.4607,11.8652
471,23019,48.9166,11.8643
473,2174,49.1903,12.4951
474,8392,48.675294,12.692566
475,6112,47.9397,12.933
477,4008,49.234,12.084
479,7588,48.3892,9.9867
483,8435,48.771,12.8835
487,1399,47.934545,12.480662
488,2010,49.5356,12.154
489,11980,48.0593,12.2343
574,3324,49.576874,17.26133
575,1593,49.449116,17.408543
576,7030,49.301911,17.39939
577,9145,48.933061,17.298601
578,3531,48.790547,16.437896
579,3940,49.035525,16.616741
580,2682,49.083013,16.411488
581,12280,48.79945,16.858672
582,3112,43.6919,23.8258
583,3662,42.8292,23.3598
584,8366,43.5878,24.3589
585,2236,43.4056,24.5192
586,458,42.9172,24.7097
587,2154,43.4555,25.0528
588,958,42.9958,25.1086
589,6860,43.3803,25.6672
590,882,43.133,25.9059
591,1383,43.5529,25.9458
657,1974,47.763,22.4201
660,9011,46.7856,21.1419
663,3712,47.2077,21.5394
664,184893,47.4949,19.0483
665,15283,47.841,22.6924
667,189538,46.4227,18.8957
670,12886,48.3566,21.692
671,19715,46.9449,20.8443
674,1222,47.662,19.6826
675,4515,48.4975,21.2285
676,1123,48.2362,19.606
677,4207,47.4838,19.9938
678,65670,47.4927,20.5165
682,2489,47.0116,21.6081
684,27354,46.8481,20.2725
686,30149,46.2026,20.4556
690,1850,48.191,19.5296
693,3502,47.2784,21.7975
696,5566,47.2467,16.9538
697,5884,46.8826,18.1404
699,3084,46.9573,16.2759
700,73113,47.1695,20.1888
701,9707,48.1034,22.8288
703,62730,47.8934,21.0582
706,29057,48.1268,22.3394
707,32782,48.4131,22.1728
713,3134,47.3779,21.0221
715,17732,47.7251,17.6763
775,1547,47.863,24.1931
777,4347,47.177167,24.151194
778,3702,46.627167,21.515611
779,3586,46.519528,21.509667
780,1691,47.231528,22.028167
781,9935,46.395333,23.852694
782,18055,46.036056,23.581361
784,2367,46.566278,23.784444
785,6254,46.171611,23.730167
786,4493,45.6462,21.1781
787,9334,44.260139,23.78675
788,2110,44.348333,24.098889
789,3295,43.986778,25.318806
790,1864,44.171167,25.996917
791,3710,44.755833,26.460583
792,2341,47.672778,26.234639
793,4087,46.209667,26.89525
794,2543,45.632194,27.386417
795,177,45.8446,27.4403
796,11899,46.723639,26.945444
797,9074,48.238806,26.824
798,570896,44.8087,21.3901
799,7225,45.991889,25.301083
800,1608,46.277722,22.34225
801,719,45.439,21.4342
802,2707,45.6837,21.9073
803,3940,47.084639,26.648111
804,2866,47.142472,25.861917
805,807000,45.180222,28.8
807,658400,43.630194,25.357306
808,36030,45.556611,27.509972
809,6265,44.696972,26.571694
811,13733,45.385111,24.297222
817,4734,47.0064,16.6106
818,8985,46.953,21.0822
822,2271,45.652777,20.798278
823,1213,43.924319,22.173151
831,3160,43.381888,19.637294
832,6270,43.296433,20.613816
836,1445,45.479444,15.367278
839,6895,45.548611,15.8575
840,7364,45.4485,16.077194
841,8992,45.483278,16.152694
842,8876,45.222389,16.548722
845,12450,45.7845,15.953306
850,38953,45.266806,16.907472
851,40262,45.15025,17.249944
852,47179,45.128028,17.539556
853,48744,45.098861,17.737833
854,50858,45.152944,18.004778
856,62891,45.073472,18.686667
857,16770,46.309028,16.816639
858,31038,46.242361,16.939111
859,31803,46.110167,17.15275
860,33916,45.944528,17.461778
864,38500,45.688472,18.4185
868,252208,45.491028,18.995028
869,253147,45.355417,19.002056
870,253737,45.230444,19.37825
886,37757,48.8798,12.7472
892,2040,48.3708,9.9874
895,3803,48.4081,10.888
900,5432,49.1183,11.9363
903,2590,49.223,12.1756
904,2814,48.1455,11.5969
906,7915,48.5275,12.1332
1014,6883,43.465178,20.621409
1021,4394,47.798051,13.053879
1308,12060,46.586993,15.018159
1311,1070,48.061111,24.212222
1321,1360,48.443611,22.718056
1322,2870,48.455,22.213611
1324,1280,48.771111,22.501389
1327,6890,48.311111,25.920556
1328,1500,48.116389,25.011944
1696,10891,46.514667,16.443556
1697,13148,46.419556,16.693
1698,1966,45.63482,15.32294
1708,813000,45.327926,28.832233
1734,2008,44.766389,16.666111
1736,3161,44.34,17.273611
1740,950,44.134722,17.9125
1976,955,47.73,10.31
2026,1037,49.29,18.78
2027,4390,48.6,21.34
2028,1597,46.73,17.11
2029,585869,43.84,23.24
2030,842,48.16,25.71
2031,3775,46.170901,23.920442
2032,1750,45.8,23.033333
2034,6003,47.05,21.933333
2036,14000,43.98,19.55
2141,306,48.44,15.56
2209,171720,47.73,18.33
2532,584900,44.16,22.82
2534,669900,43.86,25.95
2535,689700,44.13,27.26
2726,4523,43.685,23.8612
2732,5498,43.141667,24.722222
2744,599244,43.75,23.95
2745,639731,43.7,24.883333
2746,676229,44.066667,26.66667
2747,708285,45.283333,27.983333
2748,805700,45.283333,28.483333
2818,5325,47.859835,18.657613
2966,3191,44.97385,16.703856
2969,3405,45.544444,15.533889
2970,745,45.361186,17.752702
2971,4821,46.055556,14.823056
2974,457,46.3212,14.9524
2975,1034,44.158531,17.39651
2976,737,44.12575,18.57989
2977,501,43.303417,20.064127
2978,959,44.633056,19.279444
2979,340,44.268889,19.892222
2980,995,44.338333,20.085
2981,385,44.480881,20.024614
3021,2762,43.233145,19.720081
3022,3684,43.581616,19.523649
3023,155,43.381675,19.636986
3024,313,44.449612,19.49097
4192,553,46.57775,15.02594
4194,232,46.56751,15.03725
4198,303,46.31928,15.67041
4199,767,46.36835,15.90297
4202,189,46.36367,15.87807
4205,480,46.41413,16.03396
4216,569,46.16203,14.32602
4218,307,46.15302,14.29013
4224,161,46.14401,14.61682
4229,271,45.98862,15.23025
4232,561,45.92091,15.70428
4235,467,45.46389,14.85176
4236,1136,45.48469,15.07558
4241,155,46.04521,14.44644
4248,1192,46.22807,15.26002
4252,170,46.23922,15.09288
4254,203,46.23203,15.28322
4255,156,46.26469,15.2867
4257,950,45.77941,15.0192
4258,1874,45.86751,15.28555
5214,4588,44.76468,17.18852
5216,4588,44.74447222,18.095683
5217,156,44.238878,17.024121
5218,1665,44.29215278,17.11525
5219,778,44.74743529,17.272768
5220,8507,45.05355904,16.384199
